Page,relevantThird,relevantFirst,readability,length,sentiment,readTime,duration,lastPage,hits,expectedReadTime,readTimeDiff,weighedScores,cluster
sta_contract_talk.htm,0,0,71.2,164,11,0.596,97.5,0,134,79.864,17.636,0.015268,cluster1
sta_meetings.htm,0,0,35,147,20,0.535,684.5,8,513,274.455,410.045,0.063769,cluster1
sta_meetings_artifact.htm,0,0,53,350,2,1.273,107.5,0,139,176.947,-69.447,0.020427,cluster1
sta_meetings_talk.htm,0,0,76.2,185,20,0.673,74.5,0,133,89.509,-15.009,0.016689,cluster1
sta_schedule.htm,0,0,78.6,108,14,0.393,565,11,400,157.2,407.8,0.053916,cluster1
sta_leadership.htm,0,0,32.6,75,7,0.273,619.5,9,443,120.939,498.561,0.055274,cluster1
sta_leadership_talk.htm,0,0,75.1,220,21,0.8,101.5,0,155,124,-22.5,0.02227,cluster1
sta_mentoring.htm,0,1,42.1,226,25,0.822,405.5,4,327,268.794,136.706,0.038471,cluster1
stu_demographics_clip.htm,0,1,37.7,107,23,0.389,147.5,1,157,61.073,86.427,0.022229,cluster1
stu_schedule.htm,0,0,56.3,50,8,0.182,779.5,17,402,73.164,706.336,0.05257,cluster1
stu_leadership.htm,0,0,56.3,70,3,0.255,490,7,364,92.82,397.18,0.045307,cluster1
tec_classroom.html,0,0,43,141,23,0.513,360,7,289,148.257,211.743,0.033596,cluster1
tec_classroom_setup.html,0,0,33.7,1302,7,4.735,88.5,1,107,506.645,-418.145,0.012587,cluster1
tec_community.html,0,0,47.2,288,6,1.047,151,2,160,167.52,-16.52,0.018475,cluster1
tec_policies.html,0,0,21.3,379,11,1.378,182.5,1,185,254.93,-72.43,0.019966,cluster1
tec_policies_clip.html,0,0,48.1,277,15,1.007,49.5,0,67,67.469,-17.969,0.008022,cluster1
tec_schoolwide.html,0,0,61.5,86,6,0.313,425,13,279,87.327,337.673,0.030507,cluster1
tec_schoolwide_labs.html,0,0,44.4,796,3,2.895,62,0,91,263.445,-201.445,0.009041,cluster1
tec_committee.html,0,0,31.6,129,7,0.469,224.5,4,178,83.482,141.018,0.019668,cluster1
tec_committee_talk.html,0,0,72.4,266,17,0.967,54,0,84,81.228,-27.228,0.009164,cluster1
tec_plan.html,0,0,37.3,255,20,0.927,320.5,7,157,145.539,174.961,0.020889,cluster1
tec_support.html,0,0,43.4,477,11,1.735,152,1,164,284.54,-132.54,0.018989,cluster1
tec_survey.html,0,0,74.5,252,10,0.916,251.5,7,167,152.972,98.528,0.019182,cluster1
abo_facilities.htm,0,0,56.6,174,22,0.633,821,17,381,241.173,579.827,0.050333,cluster2
abo_mission.htm,1,0,33,78,23,0.284,1785.5,62,616,174.944,1610.556,0.082313,cluster2
abo_school.htm,1,1,46.4,377,3,1.371,1582,64,656,899.376,682.624,0.080752,cluster2
cur_classroom.html,0,0,51.3,126,9,0.458,1216,23,760,348.08,867.92,0.088474,cluster2
home.html,0,0,43.3,88,15,0.32,1184,102,296,94.72,1089.28,0.044676,cluster2
intranet/fin_budget.html,1,0,73.5,182,2,0.662,257,4,198,131.076,125.924,0.029132,cluster2
intranet/sta_supervis.html,1,0,-12.2,252,1,0.916,433.5,2,333,305.028,128.472,0.042218,cluster2
intranet/stu_grades__.html,1,1,61.4,70,-2,0.255,324,1,334,85.17,238.83,0.040984,cluster2
intranet/home.html,0,0,66.8,7,48,0.025,1366,21,669,16.725,1349.275,0.085578,cluster2
pro_process.html,0,0,7.5,147,16,0.535,1404.5,56,742,396.97,1007.53,0.068846,cluster2
sch_community.html,1,0,24.6,95,9,0.345,812,18,530,182.85,629.15,0.058039,cluster2
sch_higher.html,1,0,34.9,190,27,0.691,241,6,222,153.402,87.598,0.024465,cluster2
sta_demographics.htm,0,0,22.1,91,0,0.331,898.5,24,510,168.81,729.69,0.068498,cluster2
stu_demographics.htm,0,1,39.8,89,18,0.324,954,21,551,178.524,775.476,0.06895,cluster2
stu_performance.htm,1,1,53.1,132,6,0.48,1085,24,564,270.72,814.28,0.065926,cluster2
