FacID,Pre1_0809,Pre1c_0809,Pre2_0809,Pre3_0809,Pre4_0809,Pre5_0809,Pre6_0809,Pre6,Pre9,Pre9_0809,Pre10,PRESETOTAL,POSTSETOTAL,SECHANGE,Post1,Post1c,Post1d,Post1e,Post1g,Post2a,Post2b,Post2d,Post2e,Post2f,Post2g,Step1Q1A,Step1Q1B,Step1Q1C,Step1Q2_ComputerKeyDataSources,Step1Q3,Step2Q1,Step2Q2_ComputerSelectedPrinciples,Step2Q4,Step3Q1Apart1,Step3Q1Apart2,Step3Q1Bpart1,Step3Q1Bpart2,Step4Q2,Step4Q3,Step4Q4,Crosscutting,Step1sub,Step1subWO,Step2sub,Step2subWO,Step3sub,Step4sub,TotalScoreWO,TotalScore,Step1Q1A_3,Step1Q1B_3,Step1Q1C_3,Step1Q2_ComputerKeyDataSources_3,Step1Q3_3,Step2Q1_3,Step2Q2_ComputerSelectedPrinciples_3,Step2Q4_3,Step3Q1Apart1_3,Step3Q1Apart2_3,Step3Q1Bpart1_3,Step3Q1Bpart2_3,Step4Q2_3,Step4Q3_3,Step4Q4_3,Crosscutting_3,Step1sub_3,Step1subWO_3,Step2sub_3,Step2subWO_3,Step3sub_3,Step4sub_3,TotalScoreWO_3,TotalScore_3,BeforeSub,DuringSub,AfterSub,Step1Cert,Step2Cert,Step3Cert,Step4Cert,Step1Conf,Step2Conf,Step3Conf,Step4Conf,Step1Cert_3,Step2Cert_3,Step3Cert_3,Step4Cert_3,Step1Conf_3,Step2Conf_3,Step3Conf_3,Step4Conf_3
5,2,1,3,0,0,3,1,0.25,0,1,2,43,31,-12,4,0,1,3,3,2,3,4,5,5,5,0,0,0,1.125,0,2,1,2,1,1,1,2,2,1,1,3,1.125,0,5,4,5,4,16,18.125,3,2,0,0,3,2,3,1,0,2,2,2,1,1,1,3,8,8,6,3,6,3,23,26,9,0,5,3,2,3,3,3,2,4,4,3,3,4,3,4,4,5,5
5,4,1,1,15,0,3,2,0.25,0,0,2,36,40,4,4,3,4,1,3,2,2,4,4,4,3,3,0,0,0,1,1,3,2,2,2,2,1,1,1,1,2,4,4,6,3,7,3,19,22,3,2,0,0.375,3,2,3,1,1,2,2,2,1,1,1,2,8.375,8,6,3,7,3,23,26.375,9,0,5,1,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3
14,4,1,1,11,4,4,0,0.25,0,2,3,48,0,-48,1,1,2,1,1,4,2,3,5,5,5,0,0,0,1.125,2,0,2,1,0,0,0,0,1,1,1,1,3.125,2,3,1,0,3,7,10.125,3,0,0,1.5,3,2,2,0,1,0,1,1,2,1,1,2,7.5,6,4,2,3,4,17,20.5,9,0,7,3,2,3,3,3,3,3,3,4,3,4,3,5,4,4,3
14,4,1,1,15,2,4,0,0.25,0,2,2,28,36,8,4,3,4,3,4,2,2,2,3,3,3,0,0,0,1.875,3,0,1,0,2,2,2,1,1,2,2,3,4.875,3,1,0,7,5,18,20.875,3,0,0,1.5,3,2,3,3,3,3,2,2,3,1,1,2,7.5,6,8,5,10,5,28,32.5,9,0,7,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3
14,4,1,1,6,4,4,0,0.25,0,4,3,53,41,-12,2,2,3,2,1,3,2,3,3,4,4,1,0,0,2.625,2,2,2,0,0,1,0,1,1,1,1,1,5.625,3,4,2,2,3,11,15.625,0,0,0,0.75,2,0,3,0,1,1,0,1,3,2,2,1,0,0,3,0,3,7,0,0,9,0,7,4,3,3,4,4,4,3,5,3,3,3,3,4,4,4,4
14,4,1,1,22,9,1,4,0,0,0,2,56,50,-6,4,1,1,1,2,1,1,3,4,4,5,3,3,1,0.375,3,1,2,0,3,3,0,2,3,1,3,3,10.375,10,3,1,8,7,29,31.375,2,1,0,0.75,0,1,3,0,0,1,0,2,3,3,1,2,3.75,3,4,1,3,7,16,19.75,9,0,7,3,3,3,3,4,4,4,4,4,3,3,3,5,4,4,4
14,4,0,1,10,2,4,0,0.25,0,2,2,17,37,20,1,1,2,2,0,3,4,2,3,4,4,2,0,0,1.5,0,0,2,0,0,0,0,0,1,1,1,2,3.5,2,2,0,0,3,7,10.5,3,2,0,0.375,3,2,3,2,2,1,2,1,3,2,1,2,8.375,8,7,4,6,6,26,29.375,9,0,7,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3
14,4,1,1,5,4,4,0,0.25,1,2,2,33,35,2,4,3,4,2,2,1,2,1,2,2,2,1,0,0,1.125,0,0,2,0,1,1,1,1,1,2,1,1,2.125,1,2,0,4,4,10,13.125,2,1,0,1.125,0,2,3,0,2,1,0,0,1,0,1,2,4.125,3,5,2,3,2,12,16.125,9,0,7,1,2,1,1,2,2,2,2,3,4,3,3,4,5,5,5
5,2,1,1,5,0,3,4,0.25,0,0,2,41,44,3,4,2,0,4,0,2,2,3,3,2,3,1,0,0,1.875,0,0,3,0,1,3,0,2,1,2,1,2,2.875,1,3,0,6,4,13,17.875,1,0,0,1.125,0,1,3,3,2,1,2,1,1,1,1,2,2.125,1,7,4,6,3,16,20.125,9,0,5,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3
14,4,1,1,10,2,1,0,0.25,1,2,2,53,40,-13,1,4,2,4,0,2,2,1,2,1,3,2,0,0,0.75,0,0,1,0,3,3,3,3,3,3,1,3,2.75,2,1,0,12,7,24,25.75,1,1,1,0.75,2,2,3,1,1,1,1,2,2,2,1,1,5.75,5,6,3,5,5,19,22.75,9,0,7,3,4,3,3,4,6,5,4,3,3,3,3,5,5,4,4
14,4,1,1,19,5,4,0,1,1,0,3,49,38,-11,1,1,2,2,1,3,3,4,4,4,4,0,0,0,1.875,0,1,1,0,0,0,0,0,0,0,0,1,1.875,0,2,1,0,0,2,4.875,1,0,0,1.125,3,1,2,2,2,0,1,1,2,1,1,2,5.125,4,5,3,4,4,17,20.125,9,0,7,2,2,1, ,3,2,1, ,3,3,3,3,3,3,3,3
14,4,1,1,18,4,4,0,1,1,0,3,45,47,2,1,2,0,2,0,2,2,2,3,3,2,0,0,0,0.75,3,0,1,0,0,1,0,0,2,0,1,1,3.75,3,1,0,1,3,8,9.75,1,1,0,0.75,2,0,2,1,0,1,0,1,2,1,1,2,4.75,4,3,1,2,4,13,15.75,9,0,7, ,3,3,3,3,4,5,5,3,4,3,3,4,5,3,3
14,4,1,1,11,7,4,4,0,0,0,3,43,38,-5,0,2,3,3,3,2,2,3,2,3,2,0,0,0,1.875,0,0,3,0,1,3,0,3,3,1,2,2,1.875,0,3,0,7,6,15,19.875,1,2,1,1.125,3,2,2,0,1,1,1,2,3,2,2,2,8.125,7,4,2,5,7,23,26.125,9,0,7,3,4,3,3,4,5,5,4,2,2,2,3,3,3,3,3
14,4,1,1,10,8,1,4,0.25,0,1,2,43,44,1,3,2,3,4,2,2,2,2,3,3,3,3,2,1,1.125,3,2,4,3,3,3,3,2,3,2,2,3,10.125,9,9,5,11,7,35,40.125,1,2,0,0.375,3,1,3,2,2,2,0,2,3,2,2,2,6.375,6,6,3,6,7,24,27.375,9,0,7,3,3,3,3,3,4,3,3,3,3,3,3,5,4,4,4
14,4,1,1,23,3,1,4,0.25,0,3,2,44,44,0,4,2,2,4,2,2,3,4,4,3,4,0,0,0,2.25,0,0,0,0,0,2,0,0,2,2,0,2,2.25,0,0,0,2,4,8,10.25,0,0,0,1.5,0,1,1,1,0,0,0,1,3,1,0,1,0,0,3,2,1,4,0,0,9,0,7,3,3,3,3,3,5,3,4,3,4,3,3,5,5,5,5
14,4,1,1,10,4,4,0,0.25,0,0,2,56,53,-3,1,1,1,3,3,2,2,4,4,3,3,2,1,0,2.25,2,2,2,3,0,1,0,1,3,1,0,1,7.25,5,7,5,2,4,17,21.25,0,0,0,1.125,0,1,2,0,1,0,0,0,3,1,1,3,0,0,3,1,1,5,0,0,9,0,7,4,4,4,4,5,6,6,6,3,4,4,3,5,5,5,4
14,4,1,1,0,6,2,4,0,0,0,4,56,60,4,1,1,3,1,1,2,2,4,5,5,4,2,0,0,1.125,0,0,2,0,1,2,1,1,3,1,2,2,3.125,2,2,0,5,6,15,18.125,3,1,0,0.75,0,1,3,0,2,2,1,1,2,1,0,2,4.75,4,4,1,6,3,16,19.75,9,0,7,3,4,4,4,4,5,4,5,4,3,3,3,5,5,5,5
14,4,0,1,6,2,3,4,0,1,3,3,48,47,-1,3,2,3,3,3,2,2,2,4,4,3,0,0,0,1.5,2,2,3,0,0,0,0,0,3,1,1,2,3.5,2,5,2,0,5,11,15.5,0,0,0,0.375,0,0,3,1,0,1,0,1,1,1,2,1,0,0,4,1,2,4,0,0,9,0,7,3,3,3,3,4,4,4,4,3,3,3,3,5,5,5,5
